href,Base,UrlRest,urlQuery,date,date2,Id,split_string,isId,isDate,isQuary,NowordsAfterBase,nothingAfterBase,Target
https://www.posta.com.tr/bugun-iett-otobus-metro-metrobus-bedava-mi-6-eylul-okulun-ilk-gunu-toplu-tasima-ucretsiz-mi-2371185,www.posta.com.tr,/bugun-iett-otobus-metro-metrobus-bedava-mi-6-eylul-okulun-ilk-gunu-toplu-tasima-ucretsiz-mi-2371185,,[],[],['2371185'],"['', 'bugun', 'iett', 'otobus', 'metro', 'metrobus', 'bedava', 'mi-6-eylul', 'okulun', 'ilk', 'gunu', 'toplu', 'tasima', 'ucretsiz', 'mi-2371185']",True,False,False,14,False,0
https://penceretv.com/yasam/dedesi-ataturkun-kaptaniydi-kendi-sehir-hatlari-kaptani-119900h,penceretv.com,/yasam/dedesi-ataturkun-kaptaniydi-kendi-sehir-hatlari-kaptani-119900h,,[],[],['119900'],"['', 'yasam', 'dedesi', 'ataturkun', 'kaptaniydi', 'kendi', 'sehir', 'hatlari', 'kaptani-119900h']",True,False,False,8,False,0
https://www.sondakika.com/haber/haber-bagdaki-kopek-ile-dev-yilan-kapisti-o-anlar-14162157/,www.sondakika.com,/haber/haber-bagdaki-kopek-ile-dev-yilan-kapisti-o-anlar-14162157/,,[],[],['14162157'],"['', 'haber', 'haber', 'bagdaki', 'kopek', 'ile', 'dev', 'yilan', 'kapisti', 'o', 'anlar-14162157/']",True,False,False,10,False,0
https://www.turkish.shafaqna.com/TR/AL/5891982,www.turkish.shafaqna.com,/TR/AL/5891982,,[],[],['5891982'],"['', 'TR', 'AL/5891982']",True,False,False,2,False,0
https://www.turkish.shafaqna.com/TR/AL/sou/sondakika.haber7.com/Haber 7,www.turkish.shafaqna.com,/TR/AL/sou/sondakika.haber7.com/Haber 7,,[],[],[],"['', 'TR', 'AL', 'sou', 'sondakika.haber7.com', 'Haber', '7']",False,False,False,6,False,1
https://www.borsagundem.com/piyasa-ekrani/altin,www.borsagundem.com,/piyasa-ekrani/altin,,[],[],[],"['', 'piyasa', 'ekrani', 'altin']",False,False,False,3,False,1
https://qoshe.com/gazete/amrica-economa-en,qoshe.com,/gazete/amrica-economa-en,,[],[],[],"['', 'gazete', 'amrica', 'economa', 'en']",False,False,False,4,False,1
https://www.borsagundem.com/piyasa-ekrani/canli-borsa,www.borsagundem.com,/piyasa-ekrani/canli-borsa,,[],[],[],"['', 'piyasa', 'ekrani', 'canli', 'borsa']",False,False,False,4,False,1
https://www.sondakika.com/haber/haber-bagdaki-kopek-ile-dev-yilan-kapisti-o-anlar-14162157/,www.sondakika.com,/haber/haber-bagdaki-kopek-ile-dev-yilan-kapisti-o-anlar-14162157/,,[],[],['14162157'],"['', 'haber', 'haber', 'bagdaki', 'kopek', 'ile', 'dev', 'yilan', 'kapisti', 'o', 'anlar-14162157/']",True,False,False,10,False,0
https://www.sondakika.com/haber/haber-mucize-doktor-final-yapti-taner-olmez-diziye-14161905/,www.sondakika.com,/haber/haber-mucize-doktor-final-yapti-taner-olmez-diziye-14161905/,,[],[],['14161905'],"['', 'haber', 'haber', 'mucize', 'doktor', 'final', 'yapti', 'taner', 'olmez', 'diziye-14161905/']",True,False,False,9,False,0
https://www.1lesikmedya.com/2021/dis-haberler/ida-kasirgasinin-bilancosu-artiyor/120412,www.1lesikmedya.com,/2021/dis-haberler/ida-kasirgasinin-bilancosu-artiyor/120412,,[],[],['120412'],"['/2021/dis', 'haberler', 'ida', 'kasirgasinin', 'bilancosu', 'artiyor/120412']",True,False,False,6,False,0
https://www.f5haber.com/spor,www.f5haber.com,/spor,,[],[],[],"['', 'spor']",False,False,False,1,False,1
https://www.f5haber.com/posta/6-eylul-okulun-ilk-gunu-toplu-tasima-ucretsiz-mi-bugun-iett-otobus-metro-metrobus-bedava-mi-6019849,www.f5haber.com,/posta/6-eylul-okulun-ilk-gunu-toplu-tasima-ucretsiz-mi-bugun-iett-otobus-metro-metrobus-bedava-mi-6019849,,[],[],['6019849'],"['', 'posta/6-eylul', 'okulun', 'ilk', 'gunu', 'toplu', 'tasima', 'ucretsiz', 'mi', 'bugun', 'iett', 'otobus', 'metro', 'metrobus', 'bedava', 'mi-6019849']",True,False,False,15,False,0
https://www.haberturk.com/ekonomi/otomobil,www.haberturk.com,/ekonomi/otomobil,,[],[],[],"['', 'ekonomi', 'otomobil']",False,False,False,2,False,1
https://www.bagimsizgazete.com/pcr-testi-zorunlulugu-basladi,www.bagimsizgazete.com,/pcr-testi-zorunlulugu-basladi,,[],[],[],"['', 'pcr', 'testi', 'zorunlulugu', 'basladi']",False,False,False,4,False,0
https://www.haberler.com/tumu/,www.haberler.com,/tumu/,,[],[],[],"['', 'tumu', '']",False,False,False,1,False,1
https://muhalifyazar.com/iki-baskanimiz-da-basarili-oturakli,muhalifyazar.com,/iki-baskanimiz-da-basarili-oturakli,,[],[],[],"['', 'iki', 'baskanimiz', 'da', 'basarili', 'oturakli']",False,False,False,5,False,0
https://www.posta.com.tr/erkekler-iliskilerini-neden-gizler-haber-fotograf-2329623,www.posta.com.tr,/erkekler-iliskilerini-neden-gizler-haber-fotograf-2329623,,[],[],['2329623'],"['', 'erkekler', 'iliskilerini', 'neden', 'gizler', 'haber', 'fotograf-2329623']",True,False,False,6,False,0
https://ceogelisim.com/toplu-ulasim-ve-trafikte-yogunluk,ceogelisim.com,/toplu-ulasim-ve-trafikte-yogunluk,,[],[],[],"['', 'toplu', 'ulasim', 've', 'trafikte', 'yogunluk']",False,False,False,5,False,0
https://theworldnews.net/,theworldnews.net,/,,[],[],[],"['', '']",False,False,False,0,True,1
https://penceretv.com/asayis/istanbulda-dunya-baris-gunu-aciklamasina-polis-mudahalesi-47-gozalti-119865h,penceretv.com,/asayis/istanbulda-dunya-baris-gunu-aciklamasina-polis-mudahalesi-47-gozalti-119865h,,[],[],['119865'],"['', 'asayis', 'istanbulda', 'dunya', 'baris', 'gunu', 'aciklamasina', 'polis', 'mudahalesi-47-gozalti-119865h']",True,False,False,8,False,0
https://www.aa.com.tr/tr/gundem/sehirlerarasi-toplu-tasimada-pcr-testi-zorunlulugu-basladi/2356505,www.aa.com.tr,/tr/gundem/sehirlerarasi-toplu-tasimada-pcr-testi-zorunlulugu-basladi/2356505,,[],[],['2356505'],"['', 'tr', 'gundem', 'sehirlerarasi', 'toplu', 'tasimada', 'pcr', 'testi', 'zorunlulugu', 'basladi/2356505']",True,False,False,9,False,0
https://www.posta.com.tr/bugun-iett-otobus-metro-metrobus-bedava-mi-6-eylul-okulun-ilk-gunu-toplu-tasima-ucretsiz-mi-2371185,www.posta.com.tr,/bugun-iett-otobus-metro-metrobus-bedava-mi-6-eylul-okulun-ilk-gunu-toplu-tasima-ucretsiz-mi-2371185,,[],[],['2371185'],"['', 'bugun', 'iett', 'otobus', 'metro', 'metrobus', 'bedava', 'mi-6-eylul', 'okulun', 'ilk', 'gunu', 'toplu', 'tasima', 'ucretsiz', 'mi-2371185']",True,False,False,14,False,0
https://www.haberler.com/servetine-servet-ekleyen-aleyna-tilki-600-bin-tl-14162146-haberi/,www.haberler.com,/servetine-servet-ekleyen-aleyna-tilki-600-bin-tl-14162146-haberi/,,[],[],['14162146'],"['', 'servetine', 'servet', 'ekleyen', 'aleyna', 'tilki-600-bin', 'tl-14162146-haberi', '']",True,False,False,6,False,0
https://www.f5haber.com/yeni-ford-focus-fiyatlari-inanilir-gibi-degil-guncel-liste-cok-baska-fotogaleri-5939072,www.f5haber.com,/yeni-ford-focus-fiyatlari-inanilir-gibi-degil-guncel-liste-cok-baska-fotogaleri-5939072,,[],[],['5939072'],"['', 'yeni', 'ford', 'focus', 'fiyatlari', 'inanilir', 'gibi', 'degil', 'guncel', 'liste', 'cok', 'baska', 'fotogaleri-5939072']",True,False,False,12,False,0
https://theworldnews.net/us-news,theworldnews.net,/us-news,,[],[],[],"['', 'us', 'news']",False,False,False,2,False,1
https://www.medyapress.com.tr/gundem/turkiyede-yeni-donem-basliyor-iste-merak-edilen-tum-detaylar/?utm_source=rss&utm_medium=rss&utm_campaign=turkiyede-yeni-donem-basliyor-iste-merak-edilen-tum-detaylar,www.medyapress.com.tr,/gundem/turkiyede-yeni-donem-basliyor-iste-merak-edilen-tum-detaylar/,utm_source=rss&utm_medium=rss&utm_campaign=turkiyede-yeni-donem-basliyor-iste-merak-edilen-tum-detaylar,[],[],[],"['', 'gundem', 'turkiyede', 'yeni', 'donem', 'basliyor', 'iste', 'merak', 'edilen', 'tum', 'detaylar', '']",False,False,True,10,False,0
https://www.posta.com.tr/,www.posta.com.tr,/,,[],[],[],"['', '']",False,False,False,0,True,1
https://qoshe.com/gazete/aeon-en,qoshe.com,/gazete/aeon-en,,[],[],[],"['', 'gazete', 'aeon', 'en']",False,False,False,3,False,1
http://www.polatliistiklal.com/2021/09/06/asisi-olmayana-test-zorunlulugu-bugun-basliyor,www.polatliistiklal.com,/2021/09/06/asisi-olmayana-test-zorunlulugu-bugun-basliyor,,['2021/09/06'],[],[],"['/2021/09/06/asisi', 'olmayana', 'test', 'zorunlulugu', 'bugun', 'basliyor']",False,True,False,6,False,0
https://www.turkish.shafaqna.com/TR/AL/sou/sondakika.haber7.com/Haber 7,www.turkish.shafaqna.com,/TR/AL/sou/sondakika.haber7.com/Haber 7,,[],[],[],"['', 'TR', 'AL', 'sou', 'sondakika.haber7.com', 'Haber', '7']",False,False,False,6,False,1
https://www.borsagundem.com/#turkiye,www.borsagundem.com,/,,[],[],[],"['', '']",False,False,False,0,True,1
